capture_0_oq,capture_1_oq,capture_2_oq,capture_3_oq,capture_0_result,capture_1_result,capture_2_result,capture_3_result
0.65366337,-2.88617834,-1.6151892,-1.99130736,1,0,0,0
-3.45741138,-2.08552983,-2.34512985,-3.16752568,0,0,0,0
1.24194808,-3.17326598,-2.66856141,-3.17020789,1,0,0,0
1.31859537,-2.15213709,-0.32512592,-1.94332637,1,0,1,0
-2.99888141,-2.72595529,-2.75571551,-2.83242781,0,0,0,0
-2.12665517,-3.4919858,-2.85986662,-3.6221534,0,0,0,0
-2.89208312,-2.73721386,-2.97511593,-4.16579396,0,0,0,0
1.98097192,-2.86911074,-0.54778233,-2.2751784,1,0,0,0
-2.83221006,-2.04922631,-2.90515814,-1.09885111,0,0,0,0
1.91325583,0.96539678,-2.59638671,-2.21650563,1,1,0,0
-3.81190926,-1.6859822,-1.50472671,-3.2000158,0,0,0,0
-3.03492714,-3.06566637,-3.40746604,-3.28418836,0,0,0,0
-2.76437216,-3.39791328,-3.02685685,-2.97888853,0,0,0,0
2.0340912,-2.66353916,-2.28076354,-2.57871915,1,0,0,0
2.40113828,-3.17188725,-2.50325035,-3.19676064,1,0,0,0
-3.24451514,-2.05381233,-2.2544872,-2.93962993,0,0,0,0
0.57279766,-2.34230068,-2.97837108,-3.03903054,1,0,0,0
1.66065581,-3.26920934,-1.50556322,-3.61548252,1,0,0,0
-3.36850137,-1.98421367,-1.89357251,-2.74947975,0,0,0,0
3.13687213,-2.86838319,-2.99364887,-2.67862156,1,0,0,0
3.32748927,-2.44135614,-1.44013902,-3.68010402,1,0,0,0
-2.92249713,-2.65518706,-2.45368872,-3.63312475,0,0,0,0
3.10284402,-2.06421483,-2.32303534,-1.6101934,1,0,0,0
-1.13502201,-3.46670263,-2.94050071,-2.73939893,0,0,0,0
-2.59130802,-2.61379518,-3.45067047,-1.92874502,0,0,0,0
1.53323626,-3.67821269,-3.63892093,-3.18711586,1,0,0,0
0.34522042,2.03749724,-2.64422428,-2.5254,1,1,0,0
-2.05291919,-2.07911283,-2.16054581,-2.49250811,0,0,0,0
1.96989719,-1.32586788,-2.83320565,-1.81657281,1,0,0,0
2.16068402,-3.93232703,-4.04010005,-2.57478729,1,0,0,0
2.57252604,-2.26624552,-1.80535037,-4.10462543,1,0,0,0
2.85105724,-1.40151838,-2.99610756,-2.26071514,1,0,0,0
-2.54439265,-1.81262959,3.08946241,-0.94641782,0,0,1,0
-3.61026898,-3.03970482,-3.05062458,-2.90971361,0,0,0,0
2.02881619,-1.84181854,-2.7914891,-3.14461067,1,0,0,0
-3.1028647,-1.7627107,-2.26938017,-2.30518095,0,0,0,0
0.80851642,2.74895374,-1.91289503,-3.82311009,1,1,0,0
0.34550764,-3.00765987,-3.03524323,-2.50923485,1,0,0,0
-1.23466607,-3.01112328,-1.83234289,-2.22154465,0,0,0,0
-3.58539671,-2.83975527,-2.84732226,-2.45642345,0,0,0,0
-1.48774479,-2.6371181,-1.27183115,-2.53644269,0,0,0,0
-1.48950825,-2.93054376,-2.01946814,-1.80317611,0,0,0,0
2.46064942,-2.93259099,-3.80416922,-3.17688026,1,0,0,0
-3.16761173,-2.07728352,-3.36795002,-3.7481755,0,0,0,0
1.26220649,-1.36674615,-2.39140689,-2.78511196,1,0,0,0
1.16488952,2.29981169,-3.89608443,-2.59200893,1,1,0,0
1.85528696,-4.51890901,-3.45541351,-2.16349326,1,0,0,0
